INDEX,SHOOTER,X,Y,RANGE,DEFENDER,SCORE
0,Seth Curry,-3.808987264612848,5.5836210329779306,"(0, 4)",Chris Paul,MADE
1,Seth Curry,-0.1042785818707121,5.919137999129865,"(0, 4)",Trae Young,MADE
2,Seth Curry,-0.5258639738883018,8.91223947028746,"(0, 4)",Trae Young,MADE
3,Seth Curry,-0.7906163067308213,7.503781995732393,"(0, 4)",Chris Paul,MADE
4,Seth Curry,2.119074134577157,5.320533941377253,"(0, 4)",Trae Young,MADE
5,Seth Curry,0.7536142849155287,7.053553680921853,"(0, 4)",Chris Paul,MADE
6,Seth Curry,-2.535078337739349,5.6269159719909245,"(0, 4)",Russell Westbrook,MADE
7,Seth Curry,-3.236862719722141,6.619633480739427,"(0, 4)",Chris Paul,MADE
8,Seth Curry,2.045765211540049,8.142181667747595,"(0, 4)",Chris Paul,MADE
9,Seth Curry,2.8216087464886024,6.42686249918918,"(0, 4)",Chris Paul,MADE
10,Seth Curry,-3.5653972645374594,5.857231179400534,"(0, 4)",Trae Young,MADE
11,Seth Curry,0.2715221940412637,5.397550176846606,"(0, 4)",Trae Young,MISSED
12,Seth Curry,-2.373094260256837,6.130096993591397,"(0, 4)",Russell Westbrook,MISSED
13,Seth Curry,-1.6396772583071162,5.7373457977958715,"(0, 4)",Russell Westbrook,MISSED
14,Seth Curry,-2.099553198215926,6.559488872222957,"(0, 4)",Russell Westbrook,MISSED
15,Seth Curry,0.840827901086277,8.330372900490085,"(0, 4)",Russell Westbrook,MISSED
16,Seth Curry,-5.783569388642611,8.216536112281618,"(5, 9)",Trae Young,MADE
17,Seth Curry,1.1219727886110151,11.942689961085186,"(5, 9)",Russell Westbrook,MADE
18,Seth Curry,-2.5044678956548703,12.140492100520408,"(5, 9)",Trae Young,MADE
19,Seth Curry,2.8879326088863007,10.632597151548307,"(5, 9)",Trae Young,MADE
20,Seth Curry,3.1126125659413733,11.83442286110439,"(5, 9)",Chris Paul,MADE
21,Seth Curry,6.0263229880245595,8.536963391345937,"(5, 9)",Trae Young,MADE
22,Seth Curry,-4.587841330970633,11.74574291007642,"(5, 9)",Trae Young,MADE
23,Seth Curry,4.938713308316974,9.634100096088453,"(5, 9)",Trae Young,MADE
24,Seth Curry,-4.529730139406908,10.410632848383722,"(5, 9)",Trae Young,MISSED
25,Seth Curry,4.859280937251904,9.397550412511361,"(5, 9)",Chris Paul,MISSED
26,Seth Curry,-7.673401305698339,5.516084297010312,"(5, 9)",Russell Westbrook,MISSED
27,Seth Curry,7.087774379189594,7.182458796776952,"(5, 9)",Russell Westbrook,MISSED
28,Seth Curry,-12.22333478324553,6.936394740681578,"(10, 14)",Trae Young,MADE
29,Seth Curry,9.099430561018144,15.59080457522083,"(10, 14)",Trae Young,MADE
30,Seth Curry,7.351106861896578,14.569725757599247,"(10, 14)",Trae Young,MADE
31,Seth Curry,12.203405565543251,9.242282586792285,"(10, 14)",Trae Young,MADE
